月別,台灣-加權指數,台灣-上櫃指數,美國-那斯達克指數,美國-道瓊工業指數,日本-日經225指數,新加坡-海峽時報指數,南韓-綜合指數,倫敦-金融時報指數,中國-上海綜合指數,中國-香港恆生指數
2024-08,22268,275,17714,41563,38648,3443,2674,8377,2842,17989
2024-09,22225,268,18189,42330,37920,3585,2593,8237,3337,21134
2024-10,22820,264,18095,41763,39081,3559,2556,8110,3280,20317
2024-11,22263,257,19218,44911,38208,3739,2456,8287,3326,19424
2024-12,23035,256,19311,42544,39895,3788,2399,8173,3352,20060
2025-01,23525,253,19627,44545,39572,3856,2517,8674,3251,20225
2025-02,23053,260,18847,43841,37156,3896,2533,8810,3321,22941
2025-03,20696,230,17299,42002,35618,3972,2481,8583,3336,23120
2025-04,20235,220,17446,40669,36045,3833,2557,8495,3279,22119
2025-05,21347,227,19114,42270,37965,3895,2698,8772,3347,23290
2025-06,22256,231,20370,44095,40487,3964,3072,8761,3444,24072
2025-07,23543,232,21122,44131,41070,4174,3245,9133,3573,24773
2025-08,24233,255,21456,45545,42718,4270,3186,9187,3858,25078
